0;ФОРМУЛИРОВКА ВОПРОСА;ВАРИАНТЫ ОТВЕТОВ;Правильный ответ;УРОВЕНЬ СЛОЖНОСТИ;КАТЕГОРИЯ
1;Выберите правильный вариант написания;Превет/Привет/Привит;2;1;1
2;Выберите правильный вариант ударения;Россия/Россия/Россия;2;1;1
3;Выберите правильный вариант написания;Друк/Друг/Друх;2;1;1
4;Выберите правильный вариант ударения;Комната/Комната/Комната;1;1;1
5;Выберите правильный вариант написания;Вада/Вота/Вода;3;1;1
6;Выберите правильный вариант ударения;Магазин/Магазин/Магазин;3;1;1
7;Выберите правильный вариант написания;Москва/Масква/Моссква;1;1;1
8;Выберите правильный вариант ударения;Фамилия/Фамилия/Фамилия;2;1;1
9;Выберите правильный вариант написания;Горот/Горад/Город;3;1;1
10;Выберите правильный вариант ударения;Четыре/Четыре/Четыре;2;1;1
11;Выберите правильный вариант написания;Русский/Руский/Русскй;1;1;1
12;Выберите правильный вариант ударения;Погода/Погода/Погода;2;1;1
13;Выберите правильный вариант написания;Пожалуста/Пажалуйста/Пожалуйста;3;2;1
14;Выберите правильный вариант ударения;Деревня/Деревня/Деревня;2;2;1
15;Выберите правильный вариант написания;Хорошо/Харашо/Харошо;1;2;1
16;Выберите правильный вариант ударения;Минута/Минута/Минута;2;2;1
17;Выберите правильный вариант написания;Машына/Мошина/Машина;3;2;1
18;Выберите правильный вариант ударения;Хорошо/Хорошо/Хорошо;3;2;1
19;Выберите правильный вариант написания;Скажите/Скожите/Скажыте;1;2;1
20;Выберите правильный вариант ударения;Холодно/Холодно/Холодно;1;2;1
21;Выберите правильный вариант написания;Миня зовут Ира/Меня завут Ира/Меня зовут Ира;3;2;1
22;Выберите правильный вариант ударения;Учебник/Учебник/Учебник;2;2;1
23;Выберите правильный вариант написания;Когда/Кагда/Какда;1;2;1
24;Выберите правильный вариант ударения;Ученик/Ученик/Ученик;3;2;1
25;Выберите правильный вариант написания;Восемнадцать/Восемьнадцать/Восемнацать;1;3;1
26;Выберите правильный вариант ударения;Владимир/Владимир/Владимир;2;3;1
27;Выберите правильный вариант написания;До сведания/Да свидания/До свидания;3;3;1
28;Выберите правильный вариант ударения;Позавтракать/Позавтракать/Позавтракать;1;3;1
29;Выберите правильный вариант написания;По-руски/По-русски/По русски;2;3;1
30;Выберите правильный вариант ударения;Немного/Немного/Немного;2;3;1
31;Выберите правильный вариант написания;Соченение/Сочиненее/Сочинение;3;3;1
32;Выберите правильный вариант ударения;Шахматы/Шахматы/Шахматы;1;3;1
33;Выберите правильный вариант написания;Иностранец/Инастранец/Иностраниц;1;3;1
34;Выберите правильный вариант ударения;Столовая/Столовая/Столовая;2;3;1
35;Выберите правильный вариант написания;Конешно/Канечно/Конечно;3;3;1
36;Выберите правильный вариант ударения;Петербург/Петербург/Петербург;3;3;1
37;Выберите правильный вариант написания;Здравствуйте/Здраствуйте/Здраствуите;1;4;1
38;Выберите правильный вариант ударения;Анастасия/Анастасия/Анастасия;2;4;1
39;Выберите правильный вариант написания;Счастье/Щастье/Сщастье;1;4;1
40;Выберите правильный вариант ударения;Ничего нет/Ничего нет/Ничего нет;3;4;1
41;Выберите правильный вариант написания;Подезд/Подьезд/Подъезд;3;4;1
42;Выберите правильный вариант ударения;Скоростной/Скоростной/Скоростной;3;4;1
43;Выберите правильный вариант написания;Медвежонок/Медвежёнок/Медвешёнок;1;4;1
44;Выберите правильный вариант ударения;Внимательный/Внимательный/Внимательный;2;4;1
45;Выберите правильный вариант написания;Как будто/Какбудто/Какбутто;1;4;1
46;Выберите правильный вариант ударения;Сказала/Сказала/Сказала;2;4;1
47;Выберите правильный вариант написания;Железно-дорожный/Железо-дорожный/Железнодорожный;3;4;1
48;Выберите правильный вариант ударения;Творог/Творог/Оба варианта возможны;3;4;1
49;Выберите правильный вариант написания;Происшествие/Проишествие/Просшесвие;1;5;1
50;Выберите правильный вариант ударения;Экзаменатор/Экзаменатор/Экзаменатор;2;5;1
51;Выберите правильный вариант написания;Проростать/Прарастать/Прорастать;3;5;1
52;Выберите правильный вариант ударения;Сергей Александрович/Сергей Александрович/Сергей Александрович;1;5;1
53;Выберите правильный вариант написания;Светло серый/Светло-серый/Светлый серый;2;5;1
54;Выберите правильный вариант ударения;Географ/Географ/Географ;2;5;1
55;Выберите правильный вариант написания;Высоко-скоростной/Высокоскоростной/Высоко скоростной;2;5;1
56;Выберите правильный вариант ударения;Издалека/Издалека/Издалека;3;5;1
57;Выберите правильный вариант написания;Коммунистический/Комунистический/Камунистический;1;5;1
58;Выберите правильный вариант ударения;Танцовщица/Танцовщица/Танцовщица;2;5;1
59;Выберите правильный вариант написания;Гостевый дом/Гостиный дом/Гостевой дом;3;5;1
60;Выберите правильный вариант ударения;Клинический/Клинический/Клинический;2;5;1
61;Выберите правильный вариант написания;Винигрет/Винегрет/Венигрет;2;6;1
62;Выберите правильный вариант ударения;Аэропорты/Аэропорты/Аэропорты;2;6;1
63;Выберите правильный вариант написания;Блислежащий/Близлежачий/Близлежащий;3;6;1
64;Выберите правильный вариант ударения;Ставропольский край/Ставропольский край/Ставропольский край;3;6;1
65;Выберите правильный вариант написания ;Врядли/В ряд ли/Вряд ли;3;6;1
66;Выберите правильный вариант ударения;Августовский/Августовский/Августовский;1;6;1
67;Выберите правильный вариант написания;Капуччино/Каппучино/Капучино;3;6;1
68;Выберите правильный вариант ударения;Апостроф/Апостроф/Апостроф;3;6;1
69;Выберите правильный вариант написания;В течение часа/В течении часа/Втечение часа;1;6;1
70;Выберите правильный вариант ударения;Избалованный/Избалованный/Избалованный;2;6;1
71;Выберите правильный вариант написания;Координально/Кординально/Кардинально;3;6;1
72;Выберите правильный вариант ударения;Нефтепровод/Нефтепровод/Нефтепровод;3;6;1
73;Выберите подходящий союз/«Анна пишет письмо, … Маша пишет письмо»;А/Но/И;3;1;2
74;Выберите подходящий союз/«Саша читает, … Таня смотрит фильм»;А/Но/И;1;1;2
75;Выберите подходящий союз/«Рома пишет быстро, … неправильно»;А/Но/И;2;1;2
76;Выберите подходящий союз /«Студентка читает правильно, … студент читает неправильно»;А/Но/И;1;1;2
77;Выберите подходящий союз/«Столовая внизу, … буфет внизу»;А/Но/И;3;1;2
78;Выберите подходящий союз /«Столовая внизу, … буфет наверху»;А/Но/И;1;1;2
79;Выберите правильный союз: «Ты любишь чай … кофе?»;А/Или/Но;2;1;2
80;Выберите правильный вариант ответа на вопрос: «Папа не придет в бассейн, сегодня он ______»;занят/занята/занято;1;1;2
81;Выберите правильный вариант ответа на вопрос: «Моя сестра не пойдет в школу, она ______»;больна/болен/больны;1;1;2
82;Выберите правильный вариант ответа на вопрос: «Вчера подруга Маша ______ мне книгу»;подарил/подарило/подарила;3;1;2
83;Выберите правильный вариант ответа на вопрос: «Девочка катя _____ подарок»;купила/купил/купило;1;1;2
84;Выберите правильный вариант ответа на вопрос: «Мой брат не придет в школу. Он ______ »;заболела/заболел/заболели;2;1;2
85;Выберите правильный вариант ответа на вопрос/«Я читаю … хорошо»;Русский/Русский язык /По-русски ;3;2;2
86;Выберите правильный вариант ответа на вопрос/«Сестра неплохо знает … »;По-французски /Французский/Французский язык;3;2;2
87;Выберите правильный вариант ответа на вопрос/«Вы изучаете … ?» ;Английский язык/Английский/По-английски;1;2;2
88;Выберите правильный вариант ответа на вопрос/«Мои друзья говорят … »;Арабский/Арабский язык/По-арабски;3;2;2
89;Выберите правильный вариант ответа на вопрос/«Анна говорит, читает и пишет … »;Китайский/По-китайски/Китайский язык;2;2;2
90;Выберите правильный вариант ответа на вопрос/«Нина, ты говоришь … ?»//;Испанский/По-испански/Испанский язык;2;2;2
91;Заполните пропуск подходящим словом/«… есть русские друзья?»;Вам/Вы/У Вас;3;2;2
92;Заполните пропуск подходящим словом/«-Это Наташа?/- Нет, … нет дома»;Её/Она/Ей;1;2;2
93;Заполните пропуск подходящим словом/«Где … встретимся?»;Мы/Меня/Мне;1;2;2
94;Заполните пропуск подходящим словом/«Моя сестра окончила университет … »;в прошлый год/в прошлом году/прошлый год;2;2;2
95;Заполните пропуск подходящим словом/«Где остановка автобуса, … идет в аэропорт?»;Которому/Который/Которого;2;2;2
96;Заполните пропуск подходящим словом/«Кто знает, … стоит такой словарь?»;За сколько/Сколько/Как;2;2;2
